id	e	k	m	t
70	3	7	4509299	1791.0
71	3	7	4438042	1766.0
72	3	7	4557167	1797.0
73	3	7	4552323	1797.0
74	3	7	4326076	1751.0
75	3	7	3443962	1542.0
76	3	7	4663388	1819.0
77	3	7	4334049	1751.0
78	3	7	4451008	1766.0
79	3	7	4616806	1805.0
80	3	7	4677180	1816.0
81	3	7	4741531	1807.0
82	3	7	4719789	1813.0
83	3	7	4452300	1761.0
84	3	7	3127143	1480.0
85	3	7	4560292	1794.0
86	3	7	4480918	1788.0
87	3	7	4603189	1815.0
88	3	7	4611208	1779.0
89	3	7	4862177	1827.0
90	3	7	5009996	2228.0
91	3	7	3778972	1732.0
92	3	7	4399015	1911.0
93	3	7	2451727	1140.0
94	3	7	4527063	1887.0
95	3	7	4341803	1875.0
96	3	7	4498705	1797.0
97	3	7	4534318	1869.0
98	3	7	4431152	1746.0
99	3	7	4484039	1774.0
0	0	8	6903	4.0
1	0	8	7321	5.0
2	0	8	6856	8.0
3	0	8	7479	5.0
4	0	8	7824	5.0
5	0	8	4413	3.0
6	0	8	7880	6.0
7	0	8	6353	9.0
8	0	8	7710	10.0
9	0	8	4625	3.0
10	0	8	9975	4.0
11	0	8	9587	13.0
12	0	8	3389	2.0
13	0	8	6341	8.0
14	0	8	8514	5.0
15	0	8	8800	5.0
16	0	8	9316	11.0
17	0	8	8947	11.0
18	0	8	8066	9.0
19	0	8	12443	7.0
20	0	8	1157	1.0
21	0	8	1525	1.0
22	0	8	5504	5.0
23	0	8	7143	9.0
24	0	8	7726	6.0
25	0	8	7664	5.0
26	0	8	4743	3.0
27	0	8	1283	3.0
28	0	8	7789	5.0
29	0	8	6186	4.0
30	0	8	7646	4.0
31	0	8	5062	4.0
32	0	8	7334	5.0
33	0	8	5328	3.0
34	0	8	7593	10.0
35	0	8	5795	4.0
36	0	8	8139	5.0
37	0	8	6853	8.0
38	0	8	10702	11.0
39	0	8	7153	5.0
40	0	8	7145	5.0
41	0	8	7829	8.0
42	0	8	10750	6.0
43	0	8	9092	10.0
44	0	8	7030	4.0
45	0	8	9015	6.0
46	0	8	7692	9.0
47	0	8	8667	5.0
48	0	8	3712	5.0
49	0	8	1907	1.0
50	0	8	10333	6.0
51	0	8	3934	5.0
52	0	8	9410	11.0
53	0	8	5561	5.0
54	0	8	6256	4.0
55	0	8	14799	14.0
56	0	8	7307	8.0
57	0	8	7688	9.0
58	0	8	6577	4.0
59	0	8	7089	4.0
60	0	8	6725	6.0
61	0	8	8345	10.0
62	0	8	7478	8.0
63	0	8	7997	5.0
64	0	8	10613	6.0
65	0	8	9554	4.0
66	0	8	7117	6.0
67	0	8	8100	5.0
68	0	8	9500	5.0
69	0	8	9887	6.0
70	0	8	7841	9.0
71	0	8	6600	6.0
72	0	8	7253	8.0
73	0	8	8179	5.0
74	0	8	6115	4.0
75	0	8	2492	2.0
76	0	8	7935	5.0
77	0	8	5657	10.0
78	0	8	6766	12.0
79	0	8	7304	3.0
80	0	8	8986	6.0
81	0	8	9884	8.0
82	0	8	9684	5.0
83	0	8	7048	4.0
84	0	8	2514	2.0
85	0	8	7386	4.0
86	0	8	6765	4.0
87	0	8	7809	6.0
88	0	8	7664	6.0
89	0	8	13254	10.0
90	0	8	35079	15.0
91	0	8	3851	2.0
92	0	8	6568	4.0
93	0	8	1737	1.0
94	0	8	7484	4.0
95	0	8	5551	4.0
96	0	8	7850	4.0
97	0	8	7782	6.0
98	0	8	7648	4.0
99	0	8	7677	5.0
0	1	8	203901	101.0
1	1	8	214271	96.0
2	1	8	202750	102.0
3	1	8	221995	109.0
4	1	8	227876	115.0
5	1	8	133730	66.0
6	1	8	227853	129.0
7	1	8	188023	83.0
8	1	8	223461	112.0
9	1	8	142246	74.0
10	1	8	279438	125.0
11	1	8	270941	117.0
12	1	8	109182	67.0
13	1	8	189690	88.0
14	1	8	246969	115.0
15	1	8	246328	108.0
16	1	8	265438	143.0
17	1	8	251251	109.0
18	1	8	228573	99.0
19	1	8	346404	156.0
20	1	8	38510	25.0
21	1	8	49580	24.0
22	1	8	165939	86.0
23	1	8	210939	99.0
24	1	8	224117	105.0
25	1	8	225082	111.0
26	1	8	145492	68.0
27	1	8	44521	25.0
28	1	8	225998	109.0
29	1	8	184314	81.0
30	1	8	221177	99.0
31	1	8	151697	73.0
32	1	8	214646	121.0
33	1	8	161303	72.0
34	1	8	223016	116.0
35	1	8	176315	89.0
36	1	8	234874	116.0
37	1	8	197093	88.0
38	1	8	300760	128.0
39	1	8	210058	93.0
40	1	8	210420	109.0
41	1	8	226924	106.0
42	1	8	291116	118.0
43	1	8	261510	123.0
44	1	8	209507	112.0
45	1	8	261779	114.0
46	1	8	223467	108.0
47	1	8	241606	104.0
48	1	8	115271	62.0
49	1	8	60461	31.0
50	1	8	282486	117.0
51	1	8	121983	63.0
52	1	8	261052	116.0
53	1	8	168300	84.0
54	1	8	185244	84.0
55	1	8	396966	193.0
56	1	8	213967	97.0
57	1	8	221002	112.0
58	1	8	187201	84.0
59	1	8	208482	106.0
60	1	8	196643	84.0
61	1	8	242833	116.0
62	1	8	216567	100.0
63	1	8	230215	109.0
64	1	8	298924	128.0
65	1	8	264960	119.0
66	1	8	207986	92.0
67	1	8	230525	114.0
68	1	8	262511	109.0
69	1	8	277355	118.0
70	1	8	227244	105.0
71	1	8	196923	94.0
72	1	8	212512	92.0
73	1	8	231399	111.0
74	1	8	182568	83.0
75	1	8	84716	45.0
76	1	8	231949	116.0
77	1	8	170462	85.0
78	1	8	199556	106.0
79	1	8	218171	107.0
80	1	8	256559	135.0
81	1	8	284719	120.0
82	1	8	269996	119.0
83	1	8	204840	97.0
84	1	8	80996	42.0
85	1	8	216514	111.0
86	1	8	199709	91.0
