name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov1_80_5_95,80,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,864,25,0,0,0,0,0,8,11634,128347,289,0,0,0,0,0,809,113261,38236,6,0,0,0,0,1,412,9774,0,0,0,0,0,0,0,
AFMarkov1_80_10_15,80,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,2,0,0,0,0,13,621,703,1689,37,0,0,607,7402,3679,89763,7397,956,6,81,6320,262104,1211765,34981,35759,270,20,1326,44116,1152515,3114755,454905,2100,
AFMarkov1_80_10_70,80,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,2,0,0,0,0,7,621,703,1689,37,0,0,0,18,2342,89763,7397,956,6,0,0,46,2672,23776,35759,270,0,0,3,188,677,970,1313,
AFMarkov1_80_10_95,80,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,53,1689,37,0,0,0,0,0,0,422,956,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_15_15,80,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,74,145,66,1,0,0,177,2276,1347,8219,1245,15,0,24,1905,73998,318389,11230,4087,45,5,392,14173,353148,869489,136584,721,
AFMarkov1_80_15_70,80,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,74,145,66,1,0,0,0,0,160,8219,1245,15,0,0,0,0,26,1411,4087,45,0,0,0,0,1,11,64,
AFMarkov1_80_15_95,80,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,66,1,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_20_15,80,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,37,0,0,0,0,37,791,685,576,322,0,0,1,133,18962,146690,5873,221,15,0,0,94,22843,215741,56441,268,
AFMarkov1_80_20_70,80,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,8,576,322,0,0,0,0,0,0,70,221,15,0,0,0,0,0,0,1,
AFMarkov1_80_20_95,80,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_50_15,80,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
AFMarkov1_80_50_70,80,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_50_95,80,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_500_15,80,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_500_70,80,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_500_95,80,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_90_1_15,90,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5978,12320,13,0,0,0,0,30361,336423,1671643,1433360,0,0,0,94476,376007,12096665,44182370,16387511,572153,0,212468,9533091,38623953,60850097,131406446,19144470,997285,61917,4119591,130369090,1812972888,445575626,25026565,6680020,
AFMarkov1_90_1_70,90,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5978,12320,13,0,0,0,0,30361,336423,1671643,1433360,0,0,0,3597,365338,12096665,44182370,16387511,572153,0,253,30038,1681484,58288802,131406379,19144470,997285,21,2294,139948,5433466,19817485,23994173,6680004,
AFMarkov1_90_1_95,90,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5924,12320,13,0,0,0,0,326,57353,1656718,1433360,0,0,0,2,1105,123500,7044729,16281603,572153,0,0,18,2483,187921,1352630,3099281,986610,0,0,33,3873,30406,78397,65963,
AFMarkov1_90_5_15,90,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,0,72,718,1110,2671,0,0,0,880,1572,27210,106595,10666,868,0,581,51297,364927,232234,293434,49780,841,113,8478,362195,9967178,4204343,89841,17980,
AFMarkov1_90_5_70,90,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,0,72,718,1110,2671,0,0,0,3,419,27210,106595,10666,868,0,0,19,1382,64030,293366,49780,841,0,2,138,4998,19515,28221,17964,
