id	e	k	m	t
82	2	8	8874805	3431.0
83	2	8	7060164	2861.0
84	2	8	3170666	1555.0
85	2	8	7544790	3023.0
86	2	8	7022093	2897.0
87	2	8	7774623	3281.0
88	2	8	7797523	3171.0
89	2	8	11070629	3979.0
90	2	8	7534313	3119.0
91	2	8	6873441	2817.0
92	2	8	7527762	3043.0
93	2	8	6208955	2489.0
94	2	8	7597219	3043.0
95	2	8	4065549	1878.0
96	2	8	7628716	3073.0
97	2	8	7191989	2927.0
98	2	8	7956588	3166.0
99	2	8	8849463	3537.0
0	0	9	7551	5.0
1	0	9	8029	4.0
2	0	9	7376	5.0
3	0	9	7931	6.0
4	0	9	8500	6.0
5	0	9	4955	3.0
6	0	9	8536	4.0
7	0	9	7013	5.0
8	0	9	8632	6.0
9	0	9	4967	3.0
10	0	9	11135	8.0
11	0	9	10585	7.0
12	0	9	3575	2.0
13	0	9	6775	5.0
14	0	9	9194	6.0
15	0	9	10224	5.0
16	0	9	10348	7.0
17	0	9	10059	8.0
18	0	9	9212	7.0
19	0	9	13823	9.0
20	0	9	1331	1.0
21	0	9	1737	1.0
22	0	9	5852	4.0
23	0	9	7691	4.0
24	0	9	8468	7.0
25	0	9	8248	8.0
26	0	9	5135	4.0
27	0	9	1401	1.0
28	0	9	8599	6.0
29	0	9	6660	5.0
30	0	9	8350	6.0
31	0	9	5668	4.0
32	0	9	7906	5.0
33	0	9	5776	4.0
34	0	9	8097	6.0
35	0	9	6185	4.0
36	0	9	9021	6.0
37	0	9	7793	5.0
38	0	9	11882	8.0
39	0	9	7771	5.0
40	0	9	7739	5.0
41	0	9	8575	6.0
42	0	9	12860	8.0
43	0	9	9948	6.0
44	0	9	7578	5.0
45	0	9	9623	9.0
46	0	9	8354	6.0
47	0	9	10047	6.0
48	0	9	3960	3.0
49	0	9	2229	1.0
50	0	9	12093	10.0
51	0	9	4348	3.0
52	0	9	11196	9.0
53	0	9	5977	4.0
54	0	9	6890	5.0
55	0	9	16867	11.0
56	0	9	7973	4.0
57	0	9	8434	6.0
58	0	9	7431	6.0
59	0	9	7771	5.0
60	0	9	7501	5.0
61	0	9	8999	6.0
62	0	9	8160	8.0
63	0	9	8979	7.0
64	0	9	11711	10.0
65	0	9	11068	7.0
66	0	9	7869	5.0
67	0	9	9134	7.0
68	0	9	10968	7.0
69	0	9	11147	7.0
70	0	9	8597	4.0
71	0	9	7096	5.0
72	0	9	7891	5.0
73	0	9	9405	6.0
74	0	9	6641	5.0
75	0	9	2622	2.0
76	0	9	8525	6.0
77	0	9	6113	4.0
78	0	9	7302	5.0
79	0	9	7808	6.0
80	0	9	9948	6.0
81	0	9	10704	7.0
82	0	9	11014	7.0
83	0	9	7722	5.0
84	0	9	2742	2.0
85	0	9	8014	5.0
86	0	9	7453	5.0
87	0	9	8467	6.0
88	0	9	8258	6.0
89	0	9	14960	9.0
90	0	9	8459	5.0
91	0	9	6901	5.0
92	0	9	8278	6.0
93	0	9	7447	5.0
94	0	9	8440	8.0
95	0	9	3460	2.0
96	0	9	7899	5.0
97	0	9	7547	5.0
98	0	9	8447	6.0
99	0	9	10096	7.0
0	1	9	422639	221.0
1	1	9	444811	223.0
2	1	9	413621	222.0
3	1	9	446440	243.0
4	1	9	476038	248.0
5	1	9	279485	135.0
6	1	9	471121	243.0
7	1	9	391496	197.0
8	1	9	476334	252.0
9	1	9	283962	145.0
10	1	9	605403	299.0
11	1	9	581409	286.0
12	1	9	214334	115.0
13	1	9	382577	198.0
14	1	9	511839	255.0
15	1	9	545707	248.0
16	1	9	569811	272.0
17	1	9	544847	259.0
18	1	9	499245	231.0
19	1	9	759085	369.0
20	1	9	81345	39.0
21	1	9	103719	50.0
22	1	9	332587	171.0
23	1	9	436738	220.0
24	1	9	467940	237.0
25	1	9	461474	235.0
26	1	9	297332	149.0
27	1	9	89269	52.0
28	1	9	475654	236.0
29	1	9	377328	191.0
30	1	9	463177	232.0
31	1	9	318417	153.0
32	1	9	443529	230.0
33	1	9	330763	166.0
34	1	9	452808	232.0
35	1	9	354277	188.0
36	1	9	496233	239.0
37	1	9	421297	204.0
38	1	9	656158	325.0
39	1	9	437557	225.0
40	1	9	429965	211.0
41	1	9	471632	241.0
42	1	9	674066	312.0
43	1	9	552593	274.0
44	1	9	431201	227.0
45	1	9	537613	287.0
46	1	9	468445	243.0
47	1	9	533367	235.0
48	1	9	228781	117.0
49	1	9	130112	63.0
